ID,lat,lng,name,radius
NS1 / EW24,Jurong East,1.33430,103.74194,200
NS2,Bukit Batok,1.34881,103.74941,200
NS3,Bukit Gombak,1.35885,103.75183,200
NS4 / BP1,Choa Chu Kang,1.38548,103.74426,200
NS5,Yew Tee,1.39754,103.74738,200
NS7,Kranji,1.42507,103.76185,200
NS8,Marsiling,1.43256,103.77408,200
NS9 / TS2,Woodlands,1.43704,103.78649,200
NS10,Admiralty,1.44062,103.80092,200
NS11,Sembawang,1.44910,103.82011,200
NS13,Yishun,1.42947,103.83506,200
NS14,Khatib,1.41721,103.83299,200
NS15,Yio Chu Kang,1.38192,103.84483,200
NS16,Ang Mo Kio,1.37002,103.84945,200
NS17 / CC15,Bishan,1.35079,103.84816,500
NS18,Braddell,1.34031,103.84524,250
NS19,Toa Payoh,1.33269,103.84780,250
NS20,Novena,1.32007,103.84383,250
NS21 / DT11,Newton,1.31244,103.83792,250
NS22 / TS14,Orchard,1.30426,103.83250,250
NS23,Somerset,1.30016,103.83851,250
NS24 / NE6 / CC1,Dhoby Ghaut,1.29859,103.84590,500
NS25 / EW13,City Hall,1.29325,103.85222,300
NS26 / EW14,Raffles Place,1.28393,103.85147,500
NS27 / CE2 / TS20,Marina Bay,1.27609,103.85468,500
EW1,Pasir Ris,1.37253,103.94924,200
EW2 / DT32,Tampines,1.35312,103.94526,200
EW3,Simei,1.34316,103.95337,200
EW4,Tanah Merah,1.32728,103.94657,200
EW5,Bedok,1.32402,103.93004,200
EW6,Kembangan,1.32102,103.91284,200
EW7,Eunos,1.31975,103.90300,200
EW8 / CC9,Paya Lebar,1.31818,103.89297,500
EW9,Aljunied,1.31652,103.88299,200
EW10,Kallang,1.31150,103.87137,200
EW11,Lavender,1.30724,103.86292,250
EW12 / DT14,Bugis,1.30059,103.85621,250
EW15,Tanjong Pagar,1.27637,103.84569,250
EW16 / NE3 / TS17,Outram Park,1.28131,103.83899,500
EW17,Tiong Bahru,1.28609,103.82695,250
EW18,Redhill,1.28974,103.81675,200
EW19,Queenstown,1.29450,103.80615,200
EW20,Commonwealth,1.30257,103.79823,200
EW21 / CC22,Buona Vista,1.30734,103.78998,500
EW22,Dover,1.31141,103.77867,200
EW23,Clementi,1.31516,103.76521,200
EW25,Chinese Garden,1.34244,103.73257,200
EW26,Lakeside,1.34428,103.72068,200
EW27,Boon Lay,1.33859,103.70565,200
EW28,Pioneer,1.33750,103.69703,200
EW29,Joo Koon,1.32774,103.67850,200
CG1 / DT35,Expo,1.33456,103.96145,200
CG2,Changi Airport,1.35737,103.98884,700
